grid,year,round,alt,constructorRef_ferrari,constructorRef_mclaren,constructorRef_williams,constructorRef_red_bull
11,1984,10,145,0.0,0.0,0.0,0.0
18,1956,3,223,0.0,0.0,0.0,0.0
15,1963,8,485,0.0,0.0,0.0,0.0
2,1954,9,85,0.0,0.0,0.0,0.0
15,2005,4,37,0.0,0.0,0.0,1.0
23,1969,7,578,0.0,0.0,0.0,0.0
11,2012,7,13,0.0,0.0,0.0,0.0
3,1968,6,81,1.0,0.0,0.0,0.0
17,1962,3,401,0.0,0.0,0.0,0.0
21,1974,12,678,0.0,0.0,0.0,0.0
28,1953,7,578,0.0,0.0,0.0,0.0
16,2012,17,194,0.0,0.0,0.0,0.0
12,1976,8,432,0.0,0.0,0.0,0.0
6,1973,8,432,0.0,1.0,0.0,0.0
10,2000,17,18,0.0,0.0,0.0,0.0
5,2007,7,223,0.0,0.0,0.0,0.0
13,1979,10,103,0.0,0.0,0.0,0.0
9,1953,1,8,0.0,0.0,0.0,0.0
